YYYY_MM,total
2015_01,10169
2015_02,9723
2015_03,11747
2015_04,11299
2015_05,11255
2015_06,12402
2015_07,11672
2015_08,10333
2015_09,12208
2015_10,12643
2015_11,12606
2015_12,11676
2016_01,10109
2016_02,10091
2016_03,10697
2016_04,12330
2016_05,12234
2016_06,13110
2016_07,11926
2016_08,10307
2016_09,12866
2016_10,12362
2016_11,13314
2016_12,11808
2017_01,10819
2017_02,10135
2017_03,12613
2017_04,11276
2017_05,12828
2017_06,12693
2017_07,12658
2017_08,10675
2017_09,12368
2017_10,12442
2017_11,13245
2017_12,11690
2018_01,11254
2018_02,10427
2018_03,11640
2018_04,12856
2018_05,13075
2018_06,12365
2018_07,11339
2018_08,11643
2018_09,12081
2018_10,12869
2018_11,12860
2018_12,11917
2019_01,11500
2019_02,10724
2019_03,12314
2019_04,12269
2019_05,12678
2019_06,12379
2019_07,10630
2019_08,12963
2019_09,13052
2019_10,13250
2019_11,13230
2019_12,11966
2020_01,11068
2020_02,11132
2020_03,9444
2020_04,8014
2020_05,9380
2020_06,10758
2020_07,10005
2020_08,11731
2020_09,12352
2020_10,12607
2020_11,10459
2020_12,9337
2021_01,7602
2021_02,8004
2021_03,10313
2021_04,9476
2021_05,10623
2021_06,11948
2021_07,9729
2021_08,12089
2021_09,12266
2021_10,11953
2021_11,12108
2021_12,11019
