ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,1,Tue,3,52.43899811,13.38761144,morning,9,daylight,0,wet,1,6,4,0,1,1,0,0,0,3,slightly_injured
2018,1,Thu,5,52.47970452,13.35323275,afternoon,16,daylight,0,wet,1,5,3,1,1,0,0,0,0,2,seriously_injured
2018,1,Wed,4,52.42985299,13.37594587,morning,10,daylight,0,wet,1,5,3,1,1,0,0,0,0,2,seriously_injured
2018,1,Sun,1,52.53584246,13.43348954,afternoon,17,dark,2,dry,0,3,6,0,0,0,1,0,1,3,slightly_injured
2018,1,Tue,3,52.52346813,13.41771871,morning,6,dark,2,dry,0,5,3,1,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.49885011,13.28145524,afternoon,16,dark,2,dry,0,2,6,0,1,0,0,0,1,3,slightly_injured
2018,1,Wed,4,52.49420221,13.28857229,evening,19,dark,2,wet,1,3,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Fri,6,52.53274473,13.28877063,evening,22,dark,2,dry,0,2,6,0,1,0,0,1,0,3,slightly_injured
2018,1,Mon,2,52.45403539,13.31739335,afternoon,17,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Thu,5,52.49776429,13.28223853,afternoon,17,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Sat,7,52.51509809,13.46025955,morning,10,daylight,0,dry,0,5,3,1,1,0,0,0,0,2,seriously_injured
2018,1,Mon,2,52.43207457,13.39103313,evening,20,dark,2,icy,2,0,1,0,0,0,1,0,0,3,slightly_injured
2018,1,Wed,4,52.50983334,13.3814641,afternoon,16,dark,2,wet,1,2,6,0,0,0,1,0,1,3,slightly_injured
2018,1,Thu,5,52.52871325,13.28278069,morning,10,daylight,0,wet,1,3,6,0,1,0,0,1,0,3,slightly_injured
2018,1,Mon,2,52.44984708,13.38491553,afternoon,15,dusk,1,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.53716546,13.43395303,morning,8,daylight,0,dry,0,6,4,0,1,1,0,0,0,2,seriously_injured
2018,1,Thu,5,52.51740341,13.28361836,morning,11,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.48004673,13.35225844,morning,6,dark,2,wet,1,6,2,0,1,1,0,0,0,3,slightly_injured
