day,weekday,acc_w_inj,fatal1,serious1,light1,fatal,serious,light,serious_only_prop_damage,serious_combined
1.,Montag,24,2,3,19,3,8,23,6,30
2.,Dienstag,26,–,6,20,–,6,22,2,28
3.,Mittwoch,18,–,3,15,–,3,15,2,20
4.,Donnerstag,28,–,4,24,–,4,29,2,30
5.,Freitag,37,–,9,28,–,9,37,6,43
6.,Samstag,22,–,5,17,–,6,28,2,24
7.,Sonntag,21,–,6,15,–,6,21,1,22
8.,Montag,22,–,4,18,–,4,18,3,25
9.,Dienstag,41,1,8,32,1,8,41,1,42
10.,Mittwoch,31,–,2,29,–,2,35,7,38
11.,Donnerstag,33,–,4,29,–,4,34,2,35
12.,Freitag,36,–,4,32,–,5,37,6,42
13.,Samstag,21,–,2,19,–,2,24,5,26
14.,Sonntag,13,–,–,13,–,–,13,2,15
15.,Montag,28,–,1,27,–,1,33,1,29
16.,Dienstag,24,–,3,21,–,4,28,2,26
17.,Mittwoch,39,–,5,34,–,5,41,3,42
18.,Donnerstag,26,–,4,22,–,4,28,–,26
19.,Freitag,31,–,5,26,–,6,32,4,35
20.,Samstag,16,–,1,15,–,1,19,4,20
21.,Sonntag,19,–,2,17,–,4,22,4,23
22.,Montag,40,–,9,31,–,9,38,1,41
23.,Dienstag,32,–,6,26,–,7,33,2,34
24.,Mittwoch,25,–,3,22,–,3,25,4,29
25.,Donnerstag,47,–,–,47,–,–,50,4,51
26.,Freitag,27,1,2,24,1,3,32,1,28
27.,Samstag,21,–,4,17,–,5,19,1,22
28.,Sonntag,15,–,1,14,–,3,19,4,19
29.,Montag,36,–,6,30,–,6,41,2,38
